BHK,Size,Area Locality,Bathroom,Floor_num,Total_floors,Area Type_Carpet Area,Area Type_Super Area,City_Chennai,City_Delhi,City_Hyderabad,City_Kolkata,City_Mumbai,Furnishing Status_Semi-Furnished,Furnishing Status_Unfurnished,Tenant Preferred_Bachelors/Family,Tenant Preferred_Family
2,550,10.00476650344939,2,1.0,7.0,0,1,0,0,0,0,1,1,0,1,0
2,1800,9.814126231446245,2,1.0,3.0,0,1,0,0,0,0,0,1,0,1,0
2,1100,9.737592970330239,2,2.0,3.0,0,1,0,0,1,0,0,1,0,1,0
2,1080,9.723122968137124,2,3.0,5.0,0,1,0,0,0,0,0,1,0,1,0
3,1850,9.920853113431352,3,3.0,3.0,1,0,0,0,0,0,0,0,0,1,0
2,800,9.657248779212134,1,0.0,1.0,1,0,0,0,0,1,0,0,1,1,0
2,850,9.74753333599368,2,2.0,2.0,0,1,0,0,1,0,0,1,0,1,0
1,500,9.725585333841,1,0.0,4.0,0,1,0,1,0,0,0,1,0,1,0
3,1450,10.100679386607489,2,2.0,4.0,1,0,0,1,0,0,0,1,0,0,0
2,700,9.795372998386448,2,0.0,2.0,0,1,1,0,0,0,0,0,1,1,0
2,1100,9.85233399259359,2,1.0,4.0,0,1,0,0,0,0,0,1,0,1,0
3,1300,10.156371530475468,3,12.0,24.0,1,0,0,0,0,0,1,1,0,0,1
3,1325,9.987678857523639,4,15.0,36.0,1,0,0,0,0,0,1,0,0,1,0
2,900,9.638878296174212,2,2.0,3.0,0,1,0,0,0,0,0,1,0,1,0
3,2000,10.030238647247025,3,3.0,14.0,1,0,1,0,0,0,0,1,0,0,0
2,1000,9.813990296482501,3,0.0,1.0,0,1,0,0,0,0,0,1,0,1,0
2,2700,10.071878044423068,2,1.0,3.0,0,1,0,1,0,0,0,0,0,1,0
1,350,9.654443638717284,1,0.0,2.0,1,0,0,0,0,1,0,0,1,1,0
2,1200,9.773988063421502,2,0.0,1.0,0,1,0,0,1,0,0,0,1,1,0
3,1975,9.996517875482633,3,12.0,18.0,0,1,1,0,0,0,0,1,0,0,1
3,1520,10.014408435670221,4,23.0,25.0,1,0,0,0,0,0,0,1,0,1,0
1,800,9.690940050050948,1,2.0,3.0,0,1,0,0,0,1,0,0,1,1,0
3,1076,10.072488285401516,2,9.0,40.0,1,0,0,0,0,0,1,1,0,1,0
1,150,9.72399544490736,1,0.0,2.0,0,1,0,0,1,0,0,0,1,1,0
2,1050,9.662103743330647,2,4.0,5.0,1,0,0,0,1,0,0,0,1,0,0
1,550,9.773639665841069,1,3.0,4.0,0,1,1,0,0,0,0,1,0,1,0
1,450,9.773639665841069,1,3.0,4.0,0,1,0,1,0,0,0,1,0,0,0
2,850,9.723814647341825,2,2.0,2.0,0,1,1,0,0,0,0,1,0,0,0
1,575,10.108557518349327,1,1.0,9.0,1,0,0,0,0,0,1,1,0,0,1
2,950,9.849408401290985,2,1.0,5.0,0,1,0,0,1,0,0,0,1,1,0
4,1900,9.855359009405374,4,5.0,20.0,1,0,1,0,0,0,0,1,0,0,1
3,2900,10.045590702359409,3,8.0,9.0,1,0,1,0,0,0,0,1,0,0,0
2,550,9.773639665841069,1,2.0,3.0,1,0,0,0,0,1,0,0,1,1,0
3,1170,9.9381550156367,2,0.0,3.0,0,1,1,0,0,0,0,1,0,1,0
1,400,9.638878296174212,1,0.0,2.0,0,1,0,0,0,0,0,0,1,1,0
2,420,9.628416653381834,1,0.0,2.0,1,0,0,0,0,1,0,0,1,0,0
1,800,9.778922821011868,1,3.0,4.0,0,1,0,0,1,0,0,1,0,1,0
1,450,9.740097392256887,1,3.0,4.0,1,0,0,1,0,0,0,0,1,0,0
2,1500,10.00476650344939,3,4.0,4.0,0,1,0,0,0,0,1,1,0,1,0
3,120,9.837710430519074,3,4.0,5.0,0,1,0,1,0,0,0,0,0,1,0
2,550,9.723122968137124,2,0.0,2.0,0,1,0,0,0,0,0,0,1,1,0
1,80,9.60462347376937,1,0.0,2.0,0,1,0,0,1,0,0,1,0,1,0
4,1691,10.137289758834562,6,20.0,32.0,1,0,0,0,0,0,1,1,0,1,0
2,1200,9.842651282415257,2,2.0,2.0,1,0,1,0,0,0,0,1,0,1,0
1,300,9.883319839879906,1,0.0,3.0,0,1,0,0,0,1,0,1,0,1,0
2,900,9.842651282415257,2,3.0,3.0,0,1,1,0,0,0,0,1,0,1,0
1,400,9.68338664747275,1,0.0,2.0,0,1,0,0,0,0,0,0,1,1,0
3,1475,10.109809855222872,3,1.0,4.0,0,1,1,0,0,0,0,1,0,1,0
3,1700,9.90268925653831,2,0.0,2.0,0,1,0,0,0,1,0,0,1,1,0
3,1800,10.025945152114721,3,0.0,1.0,1,0,0,0,1,0,0,1,0,1,0
